Year,Month,precip_mm_prism,precip_mm_gridmet,etr_mm_gridmet,tmmx_C_gridmet,tmmn_C_gridmet,srad_wpm2_gridmet,wind_mps_gridmet,rhmax_pct_gridmet,rhmin_pct_gridmet,vpd_kpa_gridmet
1895,1,14.298090044657389,NA,NA,NA,NA,NA,NA,NA,NA,NA
1895,2,24.71565386454264,NA,NA,NA,NA,NA,NA,NA,NA,NA
1895,3,32.45006640752157,NA,NA,NA,NA,NA,NA,NA,NA,NA
1895,4,48.77865041097005,NA,NA,NA,NA,NA,NA,NA,NA,NA
1895,5,86.01985130310058,NA,NA,NA,NA,NA,NA,NA,NA,NA
1895,6,146.8856995900472,NA,NA,NA,NA,NA,NA,NA,NA,NA
1895,7,134.1501392364502,NA,NA,NA,NA,NA,NA,NA,NA,NA
1895,8,244.3248405456543,NA,NA,NA,NA,NA,NA,NA,NA,NA
1895,9,51.164533360799155,NA,NA,NA,NA,NA,NA,NA,NA,NA
1895,10,7.951546144485474,NA,NA,NA,NA,NA,NA,NA,NA,NA
1895,11,42.63853546778361,NA,NA,NA,NA,NA,NA,NA,NA,NA
1895,12,67.53266083399454,NA,NA,NA,NA,NA,NA,NA,NA,NA
1896,1,13.792599805196126,NA,NA,NA,NA,NA,NA,NA,NA,NA
1896,2,14.049798234303791,NA,NA,NA,NA,NA,NA,NA,NA,NA
1896,3,25.94923995335897,NA,NA,NA,NA,NA,NA,NA,NA,NA
1896,4,98.08321367899576,NA,NA,NA,NA,NA,NA,NA,NA,NA
1896,5,206.57758229573568,NA,NA,NA,NA,NA,NA,NA,NA,NA
1896,6,85.52588017781575,NA,NA,NA,NA,NA,NA,NA,NA,NA
1896,7,155.49748814900715,NA,NA,NA,NA,NA,NA,NA,NA,NA
1896,8,115.78886629740397,NA,NA,NA,NA,NA,NA,NA,NA,NA
1896,9,101.98505643208821,NA,NA,NA,NA,NA,NA,NA,NA,NA
1896,10,83.03760833740235,NA,NA,NA,NA,NA,NA,NA,NA,NA
1896,11,28.47207883199056,NA,NA,NA,NA,NA,NA,NA,NA,NA
1896,12,11.318633051713308,NA,NA,NA,NA,NA,NA,NA,NA,NA
1897,1,37.39346030553182,NA,NA,NA,NA,NA,NA,NA,NA,NA
1897,2,36.32018763224284,NA,NA,NA,NA,NA,NA,NA,NA,NA
1897,3,64.24796784718832,NA,NA,NA,NA,NA,NA,NA,NA,NA
1897,4,86.12620582580567,NA,NA,NA,NA,NA,NA,NA,NA,NA
1897,5,71.34001026153564,NA,NA,NA,NA,NA,NA,NA,NA,NA
1897,6,142.92654825846355,NA,NA,NA,NA,NA,NA,NA,NA,NA
1897,7,73.15262330373129,NA,NA,NA,NA,NA,NA,NA,NA,NA
1897,8,83.17707290649415,NA,NA,NA,NA,NA,NA,NA,NA,NA
1897,9,36.46694014867147,NA,NA,NA,NA,NA,NA,NA,NA,NA
1897,10,39.84947541554769,NA,NA,NA,NA,NA,NA,NA,NA,NA
1897,11,16.40262041091919,NA,NA,NA,NA,NA,NA,NA,NA,NA
1897,12,29.638324324289957,NA,NA,NA,NA,NA,NA,NA,NA,NA
1898,1,64.90078433354695,NA,NA,NA,NA,NA,NA,NA,NA,NA
1898,2,43.318284098307295,NA,NA,NA,NA,NA,NA,NA,NA,NA
1898,3,75.03303394317626,NA,NA,NA,NA,NA,NA,NA,NA,NA
1898,4,106.25006357828777,NA,NA,NA,NA,NA,NA,NA,NA,NA
1898,5,189.69188639322917,NA,NA,NA,NA,NA,NA,NA,NA,NA
1898,6,151.04725278218586,NA,NA,NA,NA,NA,NA,NA,NA,NA
1898,7,80.95395908355712,NA,NA,NA,NA,NA,NA,NA,NA,NA
1898,8,90.83289724985758,NA,NA,NA,NA,NA,NA,NA,NA,NA
1898,9,133.96605313618977,NA,NA,NA,NA,NA,NA,NA,NA,NA
1898,10,75.24251416524251,NA,NA,NA,NA,NA,NA,NA,NA,NA
1898,11,38.06664171218872,NA,NA,NA,NA,NA,NA,NA,NA,NA
1898,12,43.14646320343017,NA,NA,NA,NA,NA,NA,NA,NA,NA
1899,1,8.02459610303243,NA,NA,NA,NA,NA,NA,NA,NA,NA
1899,2,26.367643324534097,NA,NA,NA,NA,NA,NA,NA,NA,NA
1899,3,72.39928499857585,NA,NA,NA,NA,NA,NA,NA,NA,NA
1899,4,50.1312479019165,NA,NA,NA,NA,NA,NA,NA,NA,NA
1899,5,106.54611676534017,NA,NA,NA,NA,NA,NA,NA,NA,NA
1899,6,135.38018061319988,NA,NA,NA,NA,NA,NA,NA,NA,NA
1899,7,172.82033004760743,NA,NA,NA,NA,NA,NA,NA,NA,NA
1899,8,88.90228284200033,NA,NA,NA,NA,NA,NA,NA,NA,NA
1899,9,43.66872285207113,NA,NA,NA,NA,NA,NA,NA,NA,NA
1899,10,42.86529480616252,NA,NA,NA,NA,NA,NA,NA,NA,NA
1899,11,24.73764263788859,NA,NA,NA,NA,NA,NA,NA,NA,NA
1899,12,39.52806574503581,NA,NA,NA,NA,NA,NA,NA,NA,NA
1900,1,5.423049894968669,NA,NA,NA,NA,NA,NA,NA,NA,NA
1900,2,66.09731686909994,NA,NA,NA,NA,NA,NA,NA,NA,NA
1900,3,28.08286600112915,NA,NA,NA,NA,NA,NA,NA,NA,NA
1900,4,112.35580291748047,NA,NA,NA,NA,NA,NA,NA,NA,NA
1900,5,95.99372342427571,NA,NA,NA,NA,NA,NA,NA,NA,NA
1900,6,107.58686663309733,NA,NA,NA,NA,NA,NA,NA,NA,NA
1900,7,132.2061964670817,NA,NA,NA,NA,NA,NA,NA,NA,NA
1900,8,95.39619890848796,NA,NA,NA,NA,NA,NA,NA,NA,NA
